50 50
0.00 0.13 0.25 0.37 0.48 0.59 0.68 0.77 0.84 0.90 0.95 0.98 1.00 1.00 0.98 0.95 0.91 0.84 0.77 0.69 0.59 0.48 0.37 0.25 0.13 0.00 -0.12 -0.25 -0.37 -0.48 -0.59 -0.68 -0.77 -0.84 -0.90 -0.95 -0.98 -1.00 -1.00 -0.98 -0.95 -0.91 -0.85 -0.77 -0.69 -0.59 -0.48 -0.37 -0.25 -0.13 
0.13 0.25 0.37 0.49 0.61 0.71 0.81 0.90 0.97 1.03 1.08 1.11 1.12 1.12 1.11 1.08 1.03 0.97 0.90 0.81 0.71 0.61 0.49 0.38 0.25 0.13 0.00 -0.12 -0.24 -0.35 -0.46 -0.56 -0.64 -0.72 -0.78 -0.83 -0.86 -0.87 -0.87 -0.86 -0.83 -0.78 -0.72 -0.65 -0.56 -0.46 -0.36 -0.25 -0.13 0.00 
0.25 0.37 0.50 0.62 0.73 0.84 0.93 1.02 1.09 1.15 1.20 1.23 1.25 1.25 1.23 1.20 1.15 1.09 1.02 0.93 0.84 0.73 0.62 0.50 0.38 0.25 0.12 0.00 -0.12 -0.23 -0.34 -0.43 -0.52 -0.59 -0.66 -0.70 -0.73 -0.75 -0.75 -0.73 -0.70 -0.66 -0.60 -0.52 -0.44 -0.34 -0.24 -0.12 0.00 0.12 
0.37 0.49 0.62 0.74 0.85 0.96 1.05 1.14 1.21 1.27 1.32 1.35 1.37 1.37 1.35 1.32 1.27 1.21 1.14 1.05 0.96 0.85 0.74 0.62 0.49 0.37 0.24 0.12 0.00 -0.11 -0.22 -0.32 -0.40 -0.48 -0.54 -0.58 -0.61 -0.63 -0.63 -0.61 -0.58 -0.54 -0.48 -0.40 -0.32 -0.22 -0.12 0.00 0.12 0.24 
0.48 0.61 0.73 0.85 0.96 1.07 1.17 1.25 1.33 1.39 1.43 1.46 1.48 1.48 1.46 1.43 1.39 1.33 1.25 1.17 1.07 0.96 0.85 0.73 0.61 0.48 0.36 0.23 0.12 0.00 -0.10 -0.20 -0.29 -0.36 -0.42 -0.47 -0.50 -0.52 -0.52 -0.50 -0.47 -0.42 -0.36 -0.29 -0.21 -0.11 0.00 0.11 0.23 0.35 
0.59 0.71 0.84 0.96 1.07 1.18 1.27 1.36 1.43 1.49 1.54 1.57 1.59 1.59 1.57 1.54 1.49 1.43 1.36 1.27 1.18 1.07 0.96 0.84 0.71 0.59 0.46 0.34 0.22 0.11 0.00 -0.10 -0.18 -0.26 -0.32 -0.36 -0.39 -0.41 -0.41 -0.40 -0.36 -0.32 -0.26 -0.18 -0.10 0.00 0.10 0.22 0.34 0.46 
0.68 0.81 0.93 1.05 1.17 1.27 1.37 1.45 1.53 1.59 1.64 1.67 1.68 1.68 1.67 1.64 1.59 1.53 1.46 1.37 1.27 1.17 1.05 0.93 0.81 0.69 0.56 0.44 0.32 0.20 0.10 0.00 -0.08 -0.16 -0.22 -0.27 -0.30 -0.31 -0.31 -0.30 -0.27 -0.22 -0.16 -0.09 0.00 0.09 0.20 0.31 0.43 0.56 
0.77 0.90 1.02 1.14 1.25 1.36 1.45 1.54 1.61 1.67 1.72 1.75 1.77 1.77 1.75 1.72 1.68 1.62 1.54 1.46 1.36 1.25 1.14 1.02 0.90 0.77 0.65 0.52 0.40 0.29 0.18 0.09 0.00 -0.07 -0.13 -0.18 -0.21 -0.23 -0.23 -0.21 -0.18 -0.14 -0.08 0.00 0.08 0.18 0.29 0.40 0.52 0.64 
0.84 0.97 1.09 1.21 1.33 1.43 1.53 1.61 1.69 1.75 1.79 1.83 1.84 1.84 1.83 1.80 1.75 1.69 1.62 1.53 1.43 1.33 1.21 1.09 0.97 0.85 0.72 0.60 0.48 0.36 0.26 0.16 0.07 0.00 -0.06 -0.11 -0.14 -0.15 -0.15 -0.14 -0.11 -0.06 0.00 0.07 0.16 0.25 0.36 0.47 0.59 0.72 
0.90 1.03 1.15 1.27 1.39 1.49 1.59 1.67 1.75 1.81 1.86 1.89 1.90 1.90 1.89 1.86 1.81 1.75 1.68 1.59 1.49 1.39 1.27 1.15 1.03 0.91 0.78 0.66 0.54 0.42 0.32 0.22 0.14 0.06 0.00 -0.05 -0.08 -0.09 -0.09 -0.08 -0.05 0.00 0.06 0.13 0.22 0.31 0.42 0.53 0.65 0.78 
